Country,Population(Millions)
India,1417
China,1408
United States,333
Indonesia,277
Pakistan,240
Brazil,215
Nigeria,213
Bangladesh,172
Russia,144
Mexico,127
Japan,124
Ethiopia,121
Philippines,117
Egypt,111
Vietnam,100
Turkey,86
Iran,86
Germany,84
Thailand,72
France,68
